hcp_id,territory_id,market_share_percent,competitor_market_share,comp_trx_share_28d,share_shift_percent,comp_share_28d_delta,comp_detail_60d_cnt,comp_sample_60d_cnt,comp_event_90d_cnt,drug_id,drug_name,brand_name,manufacturer,drug_category,therapy_area
HCP0171,US-CA-N,51.83,20,20.36,5.06,0.06,7,19,5,COMP-OG001,elagolix,Orilissa,AbbVie,GnRH Antagonist,Obstetrics & Gynecology
HCP0172,US-FL-S,40.74,14.81,13.98,5.31,0.01,4,7,0,COMP-G001,adalimumab,Humira,AbbVie,TNF Inhibitor,Gastroenterology
HCP0173,US-TX-E,53.67,10.87,9.74,2.99,0.07,10,35,2,COMP-P002,quetiapine,Seroquel,AstraZeneca,Atypical Antipsychotic,Psychiatry
HCP0174,US-FL-N,22.06,49.71,45.75,4.66,0.08,7,11,4,COMP-AI002,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Allergy and Immunology
HCP0175,US-PA-W,50.68,13.5,16.29,3.72,0.07,15,15,8,COMP-NP002,finerenone,Kerendia,Bayer,MRA,Nephrology
HCP0176,US-PA-E,13.16,53.29,52.87,2.35,0,1,0,1,COMP-N001,natalizumab,Tysabri,Biogen,Integrin Inhibitor,Neurology
HCP0177,US-NY-W,35.77,44.73,45.16,2.03,0.08,8,19,4,COMP-D002,empagliflozin,Jardiance,Boehringer,SGLT2,Endocrinology
HCP0178,US-TX-E,53.29,16.64,12.88,2.94,0.09,12,38,5,COMP-N001,natalizumab,Tysabri,Biogen,Integrin Inhibitor,Neurology
HCP0179,US-CA-N,58.69,19.92,19.9,7.39,0.05,2,18,0,COMP-R002,upadacitinib,Rinvoq,AbbVie,JAK Inhibitor,Rheumatology
HCP0180,US-PA-W,40.12,26.45,26.9,2.57,0.01,4,14,3,COMP-FM002,lisinopril,Prinivil,Merck,ACE Inhibitor,Family Medicine
HCP0181,US-TX-E,45.88,13.33,12.77,3.58,0.07,10,29,5,COMP-D003,sitagliptin,Januvia,Merck,DPP-4,Endocrinology
HCP0182,US-CA-S,41.97,25.83,21.4,5.37,0.04,6,10,0,COMP-DM002,ustekinumab,Stelara,Janssen,IL-12/23 Inhibitor,Dermatology
HCP0183,US-TX-W,52.43,23.56,22.94,1.01,0.02,4,16,3,COMP-OG001,elagolix,Orilissa,AbbVie,GnRH Antagonist,Obstetrics & Gynecology
HCP0184,US-PA-W,40.25,23.58,28.07,2.98,0.08,14,14,6,COMP-R001,adalimumab,Humira,AbbVie,TNF Inhibitor,Rheumatology
HCP0185,US-NY-W,29.9,36.24,33.74,0.91,0.07,12,26,5,COMP-R002,upadacitinib,Rinvoq,AbbVie,JAK Inhibitor,Rheumatology
HCP0186,US-CA-S,23.09,37.81,37.27,7.97,0.03,5,11,0,COMP-PL001,tiotropium,Spiriva,Boehringer,LAMA,Pulmonology
HCP0187,US-CA-N,52.64,19.04,23.03,3.56,0.01,4,16,0,COMP-FM001,metformin,Glucophage,Merck,Biguanide,Family Medicine
HCP0188,US-FL-S,54.57,27.03,29.15,7.42,0.06,10,26,3,COMP-NP002,finerenone,Kerendia,Bayer,MRA,Nephrology
HCP0189,US-CA-S,59.26,25.84,23.21,3.95,0.04,6,16,3,COMP-N001,natalizumab,Tysabri,Biogen,Integrin Inhibitor,Neurology
HCP0190,US-NY-E,40.6,11.72,9.81,8,0.07,13,23,8,COMP-DM001,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Dermatology
HCP0191,US-NY-W,51.17,11.48,16.2,5.14,0.04,6,16,1,COMP-C002,atorvastatin,Lipitor,Pfizer,Statin,Cardiology
HCP0192,US-TX-E,48.39,12.58,12.61,6.95,0.08,13,14,4,COMP-OG001,elagolix,Orilissa,AbbVie,GnRH Antagonist,Obstetrics & Gynecology
HCP0193,US-TX-W,18.1,58.04,55.29,7.58,0.05,4,7,2,COMP-N001,natalizumab,Tysabri,Biogen,Integrin Inhibitor,Neurology
HCP0194,US-FL-N,41.75,21.02,17.27,2.42,0.05,6,10,1,COMP-G001,adalimumab,Humira,AbbVie,TNF Inhibitor,Gastroenterology
HCP0195,US-PA-W,42.94,24.41,25.46,6.74,0.06,5,12,2,COMP-G001,adalimumab,Humira,AbbVie,TNF Inhibitor,Gastroenterology
HCP0196,US-NY-W,42.56,25.34,24.51,5.11,0.05,6,14,2,COMP-AI002,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Allergy and Immunology
HCP0197,US-CA-S,22.24,54.22,53.28,3.63,0.07,7,24,5,COMP-N002,ocrelizumab,Ocrevus,Roche,CD20 Inhibitor,Neurology
HCP0198,US-NY-W,33.22,28.5,24.94,6.89,0.03,4,17,1,COMP-N002,ocrelizumab,Ocrevus,Roche,CD20 Inhibitor,Neurology
HCP0199,US-TX-E,35.75,22.65,20.07,0.98,0.04,3,8,0,COMP-R002,upadacitinib,Rinvoq,AbbVie,JAK Inhibitor,Rheumatology
HCP0200,US-TX-E,57.27,27.28,26.46,7.7,0.09,10,39,6,COMP-AI002,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Allergy and Immunology
