campaign_id,hcp_id,start_date,end_date,reach,engagement_rate,conversion_rate,downloads,impressions,clicks,conversions,roi,month_key,quarter_key,year_key,engaged_interactions,total_interactions,engagement_date,engagement_type,time_spent_minutes
CMP000030,HCP000414,2024-07-05,2024-11-16,0.4,0.12,0.28,84,8669,7929,882,0.95,7,Q3,2024,21,57,2024-08-08,view,21.1
CMP000294,HCP000232,2024-01-03,2025-04-07,0.45,0.38,0.05,27,7501,2761,807,1.57,1,Q1,2024,31,50,2024-09-06,conversion,11.7
CMP000040,HCP000167,2025-12-19,2025-12-23,0.39,0.13,0.04,12,6870,689,208,0.3,12,Q4,2025,84,93,2025-12-22,conversion,29.0
CMP000153,HCP000344,2023-02-13,2024-08-12,0.88,0.28,0.29,51,7244,426,336,1.34,2,Q1,2023,97,139,2024-04-28,conversion,12.0
CMP000006,HCP000333,2025-05-25,2025-07-19,0.63,0.33,0.19,19,7783,3657,779,0.67,5,Q2,2025,70,89,2025-07-18,conversion,9.5
CMP000134,HCP000220,2023-10-20,2025-11-22,0.27,0.19,0.3,49,6618,8291,481,0.3,10,Q4,2023,36,42,2024-12-14,click,4.9
CMP000221,HCP000016,2024-04-25,2024-09-08,0.18,0.24,0.04,95,4953,9268,246,1.21,4,Q2,2024,35,56,2024-07-29,conversion,11.6
CMP000165,HCP000277,2023-02-28,2023-07-18,0.8,0.21,0.05,46,9878,3380,725,0.15,2,Q1,2023,51,53,2023-03-10,view,4.4
CMP000356,HCP000318,2023-12-28,2025-04-08,0.59,0.17,0.02,81,3030,6785,331,0.59,12,Q4,2023,99,140,2024-06-14,conversion,28.5
CMP000079,HCP000194,2023-01-31,2025-04-27,0.17,0.25,0.19,17,1526,7254,793,2.02,1,Q1,2023,86,108,2025-02-11,conversion,16.9
CMP000330,HCP000081,2023-01-02,2024-05-31,0.3,0.1,0.07,71,4849,1734,971,0.84,1,Q1,2023,39,75,2024-04-23,conversion,26.6
CMP000255,HCP000214,2023-11-09,2024-05-29,0.18,0.17,0.16,96,1554,2534,690,2.91,11,Q4,2023,96,106,2024-03-20,view,14.7
CMP000335,HCP000388,2023-10-03,2025-02-16,0.5,0.28,0.2,61,8170,2122,112,1.7,10,Q4,2023,91,106,2023-11-18,conversion,25.4
CMP000298,HCP000130,2023-02-04,2023-09-21,0.3,0.19,0.16,15,7918,3536,962,0.74,2,Q1,2023,6,17,2023-09-19,view,23.9
CMP000126,HCP000084,2025-12-30,2025-12-30,0.5,0.27,0.08,40,3919,101,919,2.45,12,Q4,2025,18,35,2025-12-30,click,17.0
CMP000340,HCP000407,2025-03-28,2025-08-16,0.75,0.26,0.23,50,5044,735,24,2.2,3,Q1,2025,92,133,2025-04-11,click,2.3
CMP000278,HCP000128,2024-08-03,2025-12-30,0.38,0.36,0.12,7,5085,8810,203,1.58,8,Q3,2024,62,84,2025-06-06,click,17.8
CMP000135,HCP000371,2025-06-29,2025-07-18,0.66,0.1,0.01,59,1234,3240,456,2.33,6,Q2,2025,78,117,2025-07-07,conversion,16.7
CMP000056,HCP000481,2024-04-13,2024-12-19,0.73,0.14,0.22,23,9335,3016,665,0.73,4,Q2,2024,95,100,2024-06-04,view,0.7
CMP000385,HCP000307,2023-09-02,2025-07-11,0.26,0.05,0.22,38,1836,9877,789,1.83,9,Q3,2023,73,116,2025-05-09,click,17.3
CMP000374,HCP000239,2025-09-20,2025-12-23,0.61,0.11,0.17,52,5452,1763,825,2.44,9,Q3,2025,81,85,2025-11-22,view,22.4
CMP000222,HCP000405,2024-05-07,2024-09-19,0.25,0.33,0.29,66,1227,2437,302,0.73,5,Q2,2024,60,85,2024-08-24,click,24.8
CMP000388,HCP000103,2025-12-13,2025-12-27,0.77,0.27,0.11,22,5284,9209,187,0.8,12,Q4,2025,92,113,2025-12-21,view,18.1
CMP000194,HCP000327,2023-12-13,2025-05-12,0.71,0.13,0.24,7,7623,8751,274,1.79,12,Q4,2023,2,22,2025-03-14,conversion,12.5
CMP000342,HCP000177,2023-09-30,2025-05-09,0.4,0.27,0.06,76,7614,1621,516,2.09,9,Q3,2023,51,74,2024-05-25,view,20.3
CMP000189,HCP000190,2025-12-05,2025-12-19,0.49,0.09,0.15,8,7106,268,629,2.77,12,Q4,2025,48,79,2025-12-08,view,19.5
CMP000074,HCP000352,2023-10-04,2023-10-06,0.34,0.39,0.12,55,2573,8677,530,2.15,10,Q4,2023,5,38,2023-10-05,conversion,27.7
CMP000298,HCP000401,2024-08-31,2025-11-14,0.58,0.06,0.03,20,7687,5345,156,2.81,8,Q3,2024,56,72,2024-09-25,view,14.6
CMP000343,HCP000432,2023-10-10,2025-02-15,0.19,0.1,0.16,86,4616,3994,710,1.63,10,Q4,2023,95,134,2025-01-26,view,9.9
CMP000074,HCP000385,2023-12-10,2025-04-19,0.86,0.19,0.03,74,3875,6620,774,1.89,12,Q4,2023,84,131,2025-02-21,conversion,18.5
CMP000331,HCP000469,2023-06-11,2025-07-20,0.12,0.39,0.12,61,3871,4589,521,1.48,6,Q2,2023,75,109,2023-09-28,conversion,9.7
CMP000206,HCP000052,2024-05-29,2025-12-28,0.37,0.31,0.19,15,3261,1412,850,0.97,5,Q2,2024,4,19,2024-07-28,view,24.4
CMP000313,HCP000040,2024-01-05,2024-09-30,0.41,0.08,0.05,60,4581,3186,623,2.45,1,Q1,2024,97,114,2024-05-08,conversion,14.6
CMP000158,HCP000173,2023-09-18,2024-02-02,0.29,0.15,0.28,57,2446,9757,705,1.63,9,Q3,2023,12,19,2024-01-26,click,3.5
CMP000216,HCP000248,2025-09-19,2025-11-23,0.6,0.14,0.09,50,9964,8014,150,0.28,9,Q3,2025,89,138,2025-11-01,view,17.1
CMP000082,HCP000126,2023-01-18,2024-03-04,0.37,0.29,0.24,79,2872,7358,478,2.73,1,Q1,2023,4,44,2023-06-29,conversion,7.4
CMP000337,HCP000241,2024-01-23,2025-07-14,0.61,0.19,0.15,79,7944,7308,974,1.6,1,Q1,2024,96,117,2024-03-15,conversion,3.1
CMP000282,HCP000500,2024-06-28,2025-01-13,0.73,0.22,0.26,5,6393,233,75,2.23,6,Q2,2024,42,52,2024-08-08,view,1.7
CMP000168,HCP000312,2023-01-02,2023-03-17,0.53,0.23,0.21,5,1525,2427,508,2.22,1,Q1,2023,48,71,2023-02-08,conversion,1.7
CMP000003,HCP000375,2024-11-11,2025-10-02,0.64,0.37,0.27,9,3466,1325,661,1.4,11,Q4,2024,10,19,2025-01-14,view,2.5
CMP000222,HCP000079,2024-10-05,2025-10-22,0.5,0.18,0.04,85,8310,6945,398,0.87,10,Q4,2024,52,58,2025-09-12,conversion,11.2
CMP000112,HCP000013,2024-08-11,2025-05-10,0.3,0.35,0.15,5,7688,3751,25,2.47,8,Q3,2024,36,73,2025-03-11,view,10.2
CMP000025,HCP000072,2024-08-06,2024-10-23,0.2,0.23,0.02,76,9056,9884,106,1.48,8,Q3,2024,12,22,2024-09-21,click,19.2
CMP000217,HCP000360,2025-06-16,2025-09-11,0.69,0.22,0.02,67,3661,8894,51,1.87,6,Q2,2025,18,30,2025-07-01,view,28.0
CMP000221,HCP000262,2024-12-02,2025-01-28,0.49,0.21,0.2,94,8990,6327,67,2.63,12,Q4,2024,95,123,2024-12-05,view,18.4
CMP000165,HCP000437,2024-04-03,2024-04-18,0.46,0.21,0.01,58,6257,5009,731,0.69,4,Q2,2024,37,63,2024-04-10,conversion,10.7
CMP000301,HCP000373,2024-02-10,2024-05-01,0.87,0.35,0.03,27,1088,1763,239,2.52,2,Q1,2024,33,64,2024-02-17,view,29.7
CMP000166,HCP000260,2024-06-14,2024-10-24,0.16,0.37,0.15,23,5416,949,728,2.6,6,Q2,2024,53,72,2024-08-25,click,16.1
CMP000205,HCP000473,2023-09-07,2024-01-01,0.56,0.06,0.22,31,3543,7871,158,2.08,9,Q3,2023,3,36,2023-12-22,view,14.8
CMP000259,HCP000186,2023-05-25,2024-10-30,0.48,0.14,0.11,82,2363,407,713,2.13,5,Q2,2023,40,67,2024-08-28,click,8.8
CMP000217,HCP000202,2025-08-11,2025-11-12,0.82,0.18,0.03,26,6087,3402,111,2.41,8,Q3,2025,53,76,2025-10-18,conversion,5.0
CMP000186,HCP000249,2023-02-18,2024-12-19,0.23,0.19,0.28,91,5354,3553,478,2.65,2,Q1,2023,54,103,2024-07-09,conversion,29.7
CMP000271,HCP000089,2023-09-14,2025-07-19,0.77,0.21,0.14,36,7210,5230,977,1.87,9,Q3,2023,28,75,2024-01-14,click,23.9
CMP000050,HCP000167,2023-03-25,2023-08-29,0.21,0.17,0.16,38,3336,7776,84,1.88,3,Q1,2023,1,47,2023-05-28,click,5.8
CMP000399,HCP000361,2023-11-16,2025-12-11,0.63,0.2,0.21,8,3083,1335,905,1.93,11,Q4,2023,97,124,2024-04-11,view,20.2
CMP000337,HCP000329,2024-09-27,2025-12-01,0.14,0.4,0.09,48,5843,7839,526,1.77,9,Q3,2024,70,76,2025-11-20,conversion,14.8
CMP000315,HCP000265,2024-02-17,2025-07-14,0.4,0.27,0.01,98,8404,4103,275,1.74,2,Q1,2024,19,58,2024-09-22,view,28.6
CMP000103,HCP000095,2024-04-06,2024-10-07,0.83,0.14,0.04,61,3350,4088,410,2.18,4,Q2,2024,95,100,2024-04-24,click,17.6
CMP000165,HCP000013,2023-03-19,2024-11-18,0.52,0.28,0.11,35,2017,4790,318,2.49,3,Q1,2023,76,115,2024-06-05,conversion,5.6
CMP000093,HCP000144,2025-05-03,2025-11-09,0.82,0.21,0.12,86,3919,2172,332,1.4,5,Q2,2025,53,86,2025-06-01,conversion,23.3
CMP000175,HCP000347,2023-03-26,2024-10-06,0.85,0.14,0.08,81,5685,301,298,2.05,3,Q1,2023,12,43,2023-03-28,click,2.4
CMP000261,HCP000179,2024-10-26,2025-01-02,0.59,0.09,0.15,60,3349,5159,770,0.77,10,Q4,2024,81,83,2024-11-23,click,20.0
CMP000100,HCP000402,2025-10-25,2025-12-24,0.32,0.33,0.06,36,9550,3461,405,1.99,10,Q4,2025,91,130,2025-12-22,click,14.4
CMP000352,HCP000395,2025-01-16,2025-04-03,0.29,0.07,0.13,16,4147,3637,294,0.13,1,Q1,2025,2,3,2025-01-25,conversion,29.7
CMP000328,HCP000011,2023-02-09,2023-12-27,0.48,0.17,0.11,56,5048,9047,515,1.88,2,Q1,2023,10,38,2023-04-16,view,5.2
CMP000345,HCP000238,2025-09-18,2025-11-13,0.17,0.38,0.2,90,2498,9040,725,2.4,9,Q3,2025,52,85,2025-09-25,click,9.3
CMP000035,HCP000490,2025-01-05,2025-11-28,0.43,0.07,0.29,89,1837,8894,172,0.66,1,Q1,2025,73,92,2025-02-18,click,5.1
CMP000232,HCP000328,2024-04-24,2025-12-24,0.71,0.33,0.28,80,2307,8489,425,1.63,4,Q2,2024,42,64,2025-02-26,view,3.1
CMP000216,HCP000315,2025-01-01,2025-07-09,0.31,0.24,0.28,47,9801,1017,166,2.63,1,Q1,2025,52,98,2025-06-23,view,17.8
CMP000252,HCP000429,2025-10-23,2025-11-17,0.82,0.06,0.15,13,4253,888,266,1.44,10,Q4,2025,86,92,2025-10-27,click,18.5
CMP000279,HCP000149,2025-09-24,2025-12-08,0.19,0.12,0.12,28,8562,8899,340,0.43,9,Q3,2025,79,119,2025-10-11,conversion,17.0
CMP000369,HCP000355,2024-07-30,2025-05-22,0.39,0.32,0.06,87,4774,6546,10,2.58,7,Q3,2024,10,17,2024-12-20,view,11.7
CMP000162,HCP000019,2023-10-17,2025-09-08,0.12,0.07,0.21,24,3990,9399,385,2.24,10,Q4,2023,67,98,2023-11-20,click,11.5
CMP000325,HCP000011,2024-02-14,2025-01-20,0.56,0.19,0.1,87,8056,7524,523,2.9,2,Q1,2024,97,132,2024-08-12,view,19.7
CMP000260,HCP000057,2024-02-14,2024-08-07,0.66,0.16,0.28,2,1409,2016,376,0.13,2,Q1,2024,44,76,2024-07-25,click,15.0
CMP000004,HCP000118,2024-02-22,2025-05-05,0.16,0.14,0.29,92,6274,1942,636,0.53,2,Q1,2024,81,119,2024-04-09,conversion,16.4
CMP000103,HCP000240,2023-08-23,2024-01-20,0.65,0.31,0.06,24,7103,3925,161,2.01,8,Q3,2023,61,85,2023-09-08,conversion,5.0
CMP000153,HCP000411,2025-11-03,2025-12-06,0.1,0.16,0.04,16,5834,1646,724,1.68,11,Q4,2025,69,91,2025-11-29,conversion,22.9
CMP000232,HCP000461,2024-10-05,2025-03-30,0.65,0.34,0.2,21,3686,2432,956,2.18,10,Q4,2024,23,55,2025-01-20,view,10.6
CMP000297,HCP000330,2023-04-05,2024-11-26,0.42,0.22,0.19,67,1495,3095,103,2.64,4,Q2,2023,7,23,2024-05-14,view,26.9
CMP000281,HCP000443,2024-10-12,2025-12-01,0.18,0.14,0.09,11,8734,6774,357,1.41,10,Q4,2024,90,111,2025-10-15,view,20.4
CMP000142,HCP000316,2025-06-08,2025-09-07,0.63,0.14,0.13,60,8059,4579,135,2.59,6,Q2,2025,56,84,2025-07-24,view,20.0
CMP000065,HCP000472,2024-04-09,2024-06-09,0.81,0.21,0.03,62,1761,2507,884,2.56,4,Q2,2024,79,98,2024-05-17,view,27.4
CMP000149,HCP000010,2023-02-23,2025-04-12,0.48,0.09,0.25,52,9935,2528,431,0.71,2,Q1,2023,8,36,2023-10-10,conversion,13.6
CMP000331,HCP000196,2023-07-06,2025-06-02,0.81,0.35,0.3,12,7228,2931,599,2.4,7,Q3,2023,91,126,2023-11-17,click,29.4
CMP000278,HCP000143,2023-09-17,2024-08-11,0.43,0.3,0.27,40,7659,3848,459,0.26,9,Q3,2023,81,129,2024-07-26,view,8.8
CMP000095,HCP000319,2023-10-27,2024-05-10,0.85,0.1,0.13,67,9544,7280,926,0.42,10,Q4,2023,80,100,2023-11-12,click,29.7
CMP000201,HCP000368,2024-10-19,2024-12-18,0.45,0.22,0.1,51,4612,5662,945,1.78,10,Q4,2024,36,50,2024-11-30,click,11.7
CMP000276,HCP000389,2023-11-10,2024-06-26,0.19,0.16,0.13,26,3544,3968,324,0.35,11,Q4,2023,83,130,2024-02-18,view,7.8
CMP000252,HCP000283,2024-05-11,2025-11-26,0.44,0.37,0.22,94,9629,8460,757,1.86,5,Q2,2024,23,50,2024-07-02,click,6.2
CMP000253,HCP000404,2023-05-16,2025-01-07,0.75,0.26,0.24,35,3542,9425,330,1.36,5,Q2,2023,72,78,2024-07-21,click,26.3
CMP000364,HCP000232,2024-09-09,2025-11-11,0.28,0.36,0.11,8,2316,5304,918,0.25,9,Q3,2024,29,69,2025-05-20,view,4.6
CMP000158,HCP000400,2024-03-05,2025-04-12,0.46,0.37,0.1,31,1887,6115,314,0.14,3,Q1,2024,26,38,2025-02-23,view,20.3
CMP000045,HCP000174,2023-01-20,2025-09-13,0.13,0.29,0.2,39,7547,5296,246,0.69,1,Q1,2023,8,47,2025-07-20,click,27.8
CMP000036,HCP000390,2025-03-22,2025-08-31,0.17,0.36,0.28,73,4087,3658,183,0.32,3,Q1,2025,97,114,2025-04-12,view,2.3
CMP000001,HCP000399,2024-10-05,2025-01-29,0.33,0.09,0.03,67,2915,9215,560,0.47,10,Q4,2024,60,90,2024-11-02,view,7.1
CMP000256,HCP000239,2025-05-30,2025-07-07,0.56,0.25,0.23,13,5021,4509,557,0.42,5,Q2,2025,3,40,2025-06-04,click,11.0
CMP000291,HCP000349,2025-05-24,2025-07-02,0.56,0.3,0.17,76,8928,1890,59,2.04,5,Q2,2025,82,111,2025-07-01,click,5.4
CMP000223,HCP000121,2024-03-20,2025-05-10,0.28,0.06,0.11,51,4099,9848,481,0.71,3,Q1,2024,77,126,2024-12-12,click,23.3
CMP000119,HCP000476,2024-09-30,2025-04-23,0.28,0.12,0.18,30,7811,8442,234,0.4,9,Q3,2024,61,92,2025-02-25,click,26.5
CMP000162,HCP000380,2025-10-14,2025-11-30,0.9,0.2,0.06,13,7145,2709,144,2.26,10,Q4,2025,8,19,2025-11-10,conversion,6.4
CMP000059,HCP000009,2025-08-03,2025-11-02,0.86,0.3,0.25,2,2726,1007,169,2.32,8,Q3,2025,69,94,2025-08-06,conversion,29.8
CMP000089,HCP000095,2023-09-25,2024-11-25,0.85,0.24,0.24,64,7697,8869,542,0.6,9,Q3,2023,70,74,2024-08-02,view,23.6
CMP000235,HCP000427,2023-08-12,2025-04-27,0.64,0.1,0.11,98,9998,9325,211,0.5,8,Q3,2023,6,51,2023-09-11,conversion,6.6
CMP000161,HCP000067,2024-09-06,2025-05-21,0.42,0.34,0.18,68,1260,3896,834,1.18,9,Q3,2024,95,134,2024-12-07,click,27.2
CMP000007,HCP000497,2023-03-18,2025-03-25,0.87,0.1,0.23,34,6781,2199,252,1.12,3,Q1,2023,74,118,2025-03-02,conversion,19.8
CMP000010,HCP000202,2024-02-22,2024-12-07,0.68,0.22,0.09,71,2040,8088,315,0.72,2,Q1,2024,97,121,2024-02-29,click,21.0
CMP000346,HCP000029,2024-06-08,2025-01-29,0.29,0.29,0.24,45,4726,1987,309,0.35,6,Q2,2024,84,95,2024-10-06,conversion,11.2
CMP000145,HCP000027,2024-03-11,2025-12-25,0.9,0.15,0.29,2,2473,9241,934,1.88,3,Q1,2024,88,103,2025-03-27,conversion,10.6
CMP000265,HCP000411,2025-12-17,2025-12-19,0.2,0.06,0.1,43,5501,8452,804,0.84,12,Q4,2025,83,127,2025-12-17,conversion,27.8
CMP000070,HCP000323,2023-07-28,2024-11-05,0.6,0.1,0.16,77,6284,1652,658,1.87,7,Q3,2023,57,69,2024-07-06,click,28.3
CMP000281,HCP000223,2024-05-13,2024-12-08,0.37,0.34,0.2,42,1937,7695,434,0.99,5,Q2,2024,90,136,2024-10-21,view,22.1
CMP000139,HCP000485,2025-07-28,2025-11-30,0.11,0.23,0.04,67,8017,9949,62,0.13,7,Q3,2025,94,125,2025-08-14,click,8.6
CMP000375,HCP000059,2023-10-19,2025-09-04,0.35,0.37,0.17,16,6659,2003,138,1.0,10,Q4,2023,42,75,2024-03-31,view,11.6
CMP000092,HCP000003,2024-09-24,2025-10-05,0.23,0.07,0.26,24,7035,7171,108,0.99,9,Q3,2024,43,62,2025-07-15,conversion,18.7
CMP000130,HCP000068,2025-03-13,2025-08-05,0.17,0.33,0.14,17,9064,3716,295,0.18,3,Q1,2025,12,49,2025-03-23,view,23.0
CMP000186,HCP000365,2025-03-11,2025-05-11,0.58,0.29,0.07,95,7290,1408,478,1.18,3,Q1,2025,92,108,2025-03-17,click,10.4
CMP000060,HCP000098,2024-04-28,2025-10-31,0.23,0.24,0.16,80,2592,4480,138,1.41,4,Q2,2024,59,80,2025-05-26,conversion,5.9
CMP000098,HCP000300,2024-09-18,2025-01-01,0.83,0.16,0.27,23,8636,4287,278,0.19,9,Q3,2024,70,113,2024-12-28,click,24.0
CMP000168,HCP000454,2025-06-02,2025-06-13,0.16,0.38,0.21,75,1049,9261,707,0.47,6,Q2,2025,92,120,2025-06-04,conversion,11.5
CMP000123,HCP000341,2023-10-27,2024-09-02,0.55,0.09,0.12,73,9017,2915,980,1.84,10,Q4,2023,9,24,2023-11-18,view,5.0
CMP000038,HCP000203,2024-01-23,2024-02-17,0.31,0.26,0.18,83,4590,7070,387,2.27,1,Q1,2024,3,16,2024-02-14,view,24.4
CMP000037,HCP000429,2023-03-20,2024-09-29,0.2,0.09,0.21,45,1287,885,278,0.86,3,Q1,2023,62,71,2024-09-17,conversion,2.4
CMP000270,HCP000252,2023-11-06,2025-01-04,0.2,0.1,0.21,67,1611,7328,624,2.59,11,Q4,2023,17,65,2024-08-18,conversion,29.5
CMP000046,HCP000093,2024-12-22,2025-07-06,0.64,0.13,0.16,47,4139,2359,212,3.0,12,Q4,2024,72,99,2025-05-25,click,10.6
CMP000225,HCP000225,2025-09-14,2025-10-08,0.37,0.21,0.29,25,5075,6262,184,2.46,9,Q3,2025,33,35,2025-09-30,view,1.7
CMP000298,HCP000470,2023-02-17,2024-02-27,0.22,0.19,0.28,32,3891,6686,465,0.92,2,Q1,2023,18,47,2023-07-11,click,15.2
CMP000364,HCP000305,2025-01-29,2025-09-16,0.37,0.29,0.14,70,5693,7666,931,2.66,1,Q1,2025,57,66,2025-07-21,conversion,3.1
CMP000150,HCP000067,2023-10-03,2025-10-09,0.83,0.24,0.09,57,1087,7215,662,2.2,10,Q4,2023,52,71,2024-12-31,click,24.5
CMP000039,HCP000013,2025-05-06,2025-09-18,0.39,0.19,0.27,43,1208,699,614,1.92,5,Q2,2025,47,68,2025-07-11,click,15.3
CMP000259,HCP000121,2023-09-12,2024-10-17,0.6,0.3,0.2,43,1822,6200,557,2.31,9,Q3,2023,52,91,2023-11-21,conversion,11.0
CMP000139,HCP000304,2024-03-18,2024-04-08,0.47,0.4,0.1,71,7958,5542,808,2.78,3,Q1,2024,89,132,2024-03-27,view,21.1
CMP000189,HCP000469,2023-03-19,2023-11-27,0.37,0.25,0.21,17,8406,4819,590,1.42,3,Q1,2023,55,61,2023-10-27,conversion,28.0
CMP000396,HCP000395,2023-11-29,2025-09-24,0.84,0.12,0.19,29,7452,9944,185,0.37,11,Q4,2023,86,87,2024-05-18,conversion,21.0
CMP000176,HCP000350,2025-10-02,2025-10-23,0.49,0.22,0.06,81,9479,9289,295,2.21,10,Q4,2025,55,92,2025-10-18,conversion,13.5
CMP000371,HCP000109,2023-11-18,2024-06-14,0.7,0.31,0.16,31,8161,8109,722,0.29,11,Q4,2023,42,59,2024-04-25,view,7.8
CMP000003,HCP000082,2025-03-08,2025-03-15,0.21,0.29,0.11,77,1476,7526,102,0.61,3,Q1,2025,21,39,2025-03-08,click,12.4
CMP000167,HCP000480,2025-01-06,2025-12-25,0.77,0.23,0.02,25,7154,356,825,1.05,1,Q1,2025,10,26,2025-02-26,view,29.3
CMP000019,HCP000110,2025-10-02,2025-10-18,0.38,0.4,0.14,81,3042,2281,508,2.9,10,Q4,2025,86,96,2025-10-16,conversion,24.0
CMP000213,HCP000321,2023-01-14,2023-12-27,0.68,0.27,0.04,29,8668,3492,672,1.14,1,Q1,2023,51,85,2023-04-22,conversion,15.7
CMP000110,HCP000327,2025-08-03,2025-10-01,0.42,0.35,0.11,91,7941,1081,357,2.14,8,Q3,2025,26,60,2025-08-29,conversion,23.2
CMP000361,HCP000287,2024-10-20,2025-08-08,0.47,0.34,0.21,59,4767,6819,506,2.17,10,Q4,2024,85,98,2025-03-04,view,10.4
CMP000360,HCP000190,2024-12-14,2025-03-21,0.72,0.31,0.18,2,1752,7656,946,0.81,12,Q4,2024,62,97,2025-01-04,conversion,18.7
CMP000052,HCP000049,2024-12-25,2025-04-21,0.5,0.36,0.14,80,3422,8965,875,2.29,12,Q4,2024,20,36,2025-04-05,click,17.1
CMP000319,HCP000067,2025-08-26,2025-11-11,0.46,0.29,0.14,42,6399,399,138,2.86,8,Q3,2025,54,89,2025-10-21,conversion,25.8
CMP000338,HCP000471,2023-06-08,2023-06-19,0.32,0.26,0.2,88,7880,4821,287,0.88,6,Q2,2023,86,90,2023-06-14,click,19.0
CMP000181,HCP000337,2025-10-25,2025-11-30,0.66,0.35,0.18,48,7052,8359,628,1.01,10,Q4,2025,77,103,2025-11-21,conversion,23.5
CMP000180,HCP000047,2025-10-02,2025-11-28,0.76,0.11,0.11,75,2705,6097,953,2.47,10,Q4,2025,72,104,2025-10-29,conversion,5.0
CMP000292,HCP000066,2024-04-08,2025-09-21,0.81,0.08,0.17,94,5691,8939,155,2.11,4,Q2,2024,18,19,2024-06-30,view,15.6
CMP000138,HCP000203,2025-01-18,2025-02-11,0.44,0.2,0.08,42,1131,8522,404,0.84,1,Q1,2025,86,88,2025-01-26,click,1.6
CMP000396,HCP000021,2024-03-05,2025-07-15,0.56,0.36,0.27,54,7632,6855,900,0.57,3,Q1,2024,93,101,2024-11-12,view,4.7
CMP000385,HCP000200,2024-03-06,2024-09-24,0.5,0.21,0.06,93,3568,1708,547,0.87,3,Q1,2024,17,57,2024-06-30,click,21.4
CMP000221,HCP000281,2023-10-20,2024-06-08,0.37,0.28,0.09,45,7061,8723,400,0.54,10,Q4,2023,40,50,2024-05-07,view,26.5
CMP000141,HCP000027,2024-01-09,2025-12-07,0.62,0.35,0.24,12,7740,9911,285,0.89,1,Q1,2024,24,34,2024-02-22,conversion,4.6
CMP000143,HCP000452,2025-07-21,2025-10-07,0.41,0.32,0.06,51,9646,3408,221,0.2,7,Q3,2025,62,93,2025-09-23,view,4.9
CMP000304,HCP000296,2024-05-11,2025-10-21,0.25,0.13,0.24,17,2511,2358,241,0.17,5,Q2,2024,34,80,2024-08-27,click,23.3
CMP000179,HCP000484,2023-02-09,2025-11-23,0.35,0.11,0.19,82,1170,5251,272,1.28,2,Q1,2023,46,63,2025-03-22,conversion,25.2
CMP000088,HCP000334,2024-04-04,2024-10-22,0.38,0.31,0.28,58,6193,9917,856,2.63,4,Q2,2024,49,49,2024-09-13,view,20.2
CMP000028,HCP000354,2024-09-20,2025-07-18,0.56,0.09,0.15,83,4537,6816,458,0.14,9,Q3,2024,35,49,2025-07-03,conversion,23.5
CMP000042,HCP000486,2023-02-24,2025-08-17,0.3,0.21,0.17,22,7893,9033,174,1.67,2,Q1,2023,51,77,2025-07-31,view,24.5
CMP000136,HCP000238,2023-10-23,2025-04-08,0.9,0.21,0.03,91,5104,8146,22,1.13,10,Q4,2023,74,106,2024-04-12,conversion,4.6
CMP000067,HCP000297,2025-12-02,2025-12-27,0.54,0.05,0.16,16,2002,7508,464,2.71,12,Q4,2025,6,23,2025-12-25,conversion,1.5
CMP000259,HCP000238,2025-11-09,2025-12-13,0.19,0.21,0.01,38,1031,7820,301,1.96,11,Q4,2025,87,88,2025-12-03,view,14.1
CMP000335,HCP000493,2024-04-11,2024-08-21,0.57,0.22,0.16,33,2422,7658,993,0.24,4,Q2,2024,10,24,2024-08-16,click,19.3
CMP000104,HCP000319,2025-05-17,2025-07-26,0.71,0.16,0.08,37,7444,4823,350,1.22,5,Q2,2025,33,35,2025-06-14,conversion,2.9
CMP000343,HCP000347,2023-06-01,2025-06-01,0.32,0.14,0.08,62,6521,511,980,2.49,6,Q2,2023,2,38,2023-09-08,click,20.0
CMP000111,HCP000290,2024-02-06,2025-08-22,0.87,0.09,0.15,72,6361,9554,312,2.78,2,Q1,2024,48,76,2025-04-15,click,2.3
CMP000383,HCP000044,2023-10-12,2025-03-16,0.62,0.35,0.12,2,5780,4756,132,2.3,10,Q4,2023,92,99,2025-03-03,click,10.1
CMP000295,HCP000432,2023-05-19,2024-04-28,0.81,0.11,0.19,4,3957,7016,715,0.94,5,Q2,2023,18,44,2023-10-03,click,12.9
CMP000146,HCP000123,2023-12-13,2025-07-13,0.18,0.36,0.18,42,8931,1814,134,1.57,12,Q4,2023,85,87,2024-08-07,click,0.6
CMP000058,HCP000431,2024-10-15,2025-06-29,0.54,0.37,0.11,40,6014,6759,174,1.74,10,Q4,2024,44,76,2025-03-08,click,28.5
CMP000285,HCP000229,2024-02-09,2025-05-08,0.87,0.14,0.25,80,5976,5167,694,2.92,2,Q1,2024,22,51,2024-09-24,conversion,22.4
CMP000221,HCP000315,2024-12-21,2025-11-16,0.66,0.39,0.02,65,8206,9312,474,0.83,12,Q4,2024,71,97,2025-02-04,view,25.4
CMP000072,HCP000070,2024-12-31,2025-01-20,0.88,0.28,0.16,6,7886,2058,89,1.39,12,Q4,2024,15,41,2025-01-15,click,14.9
CMP000007,HCP000368,2025-06-25,2025-10-15,0.86,0.2,0.22,46,8967,7939,124,0.72,6,Q2,2025,90,94,2025-07-08,click,21.3
CMP000174,HCP000452,2025-01-03,2025-12-14,0.29,0.11,0.03,49,1497,636,243,0.99,1,Q1,2025,13,56,2025-03-19,conversion,3.7
