hcp_id,product_id,perception_score,key_drivers,liked_attributes
HCP000053,PRD000021,2.2,Cost,Low side effects
HCP000113,PRD000032,2.43,Efficacy,Low side effects
HCP000450,PRD000026,2.77,Efficacy,Innovative delivery
HCP000420,PRD000019,2.1,Safety,Long-term data
HCP000475,PRD000044,1.62,Safety,Rapid onset
HCP000265,PRD000045,3.87,Efficacy,Long-term data
HCP000488,PRD000003,3.24,Efficacy,Once-daily dosing
HCP000104,PRD000049,4.81,Ease of use,Affordable pricing
HCP000253,PRD000014,2.33,Convenience,Once-daily dosing
HCP000307,PRD000024,3.8,Real-world evidence,Minimal interactions
HCP000179,PRD000004,2.09,Efficacy,Rapid onset
HCP000006,PRD000031,3.94,Real-world evidence,Low side effects
HCP000459,PRD000003,1.1,Cost,High efficacy
HCP000432,PRD000016,2.87,Ease of use,Affordable pricing
